strategy,strategy_name,ticker,timeframe_years,total_return_pct,annualized_return_pct,volatility_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,trade_count,avg_trade_return_pct,avg_holding_period_days,benchmark_return_pct,outperformance_pct,data_start,data_end,n_bars
rsi_mean_reversion,RSI Mean Reversion,QQQ,10,78.9307,5.9841,12.9787,0.5140198163873559,-22.4178,85.7143,14,4.2989,26.857142857142858,553.5375,-474.6068,2016-04-25,2026-04-27,2516
rsi_mean_reversion,RSI Mean Reversion,QQQ,20,48.8124,2.0052,13.4795,0.21488071900379052,-46.4892,78.2609,23,2.0541,38.608695652173914,1748.7183,-1699.9059,2006-04-24,2026-04-27,5034
rsi_mean_reversion,RSI Mean Reversion,BTC-USD,1,-11.5897,-11.4716,22.8189,-0.2538290928932441,-24.5271,0.0,2,-5.957,41.0,-17.5133,5.9236,2025-04-23,2026-04-27,370
rsi_mean_reversion,RSI Mean Reversion,BTC-USD,5,-8.7441,-1.8085,28.1247,0.09618159592240108,-55.4517,58.3333,12,0.231,37.833333333333336,51.2699,-60.014,2021-04-23,2026-04-27,1831
rsi_mean_reversion,RSI Mean Reversion,BTC-USD,10,345.2758,16.0797,28.2928,0.5027058211226821,-54.7996,69.5652,23,8.7797,31.391304347826086,17064.6509,-16719.3752,2016-04-23,2026-04-27,3657
rsi_mean_reversion,RSI Mean Reversion,BTC-USD,20,486.5651,16.4503,29.3391,0.5034239132847513,-54.7996,71.4286,28,8.3266,32.107142857142854,16799.9753,-16313.4103,2014-09-17,2026-04-27,4241
rsi_mean_reversion,RSI Mean Reversion,IWM,1,0.0,0.0,0.0,,0.0,,0,,,47.0942,-47.0942,2025-04-23,2026-04-27,254
rsi_mean_reversion,RSI Mean Reversion,IWM,5,14.7565,2.7834,11.8888,0.29130537787425814,-19.3745,71.4286,7,2.1034,45.857142857142854,30.3971,-15.6405,2021-04-23,2026-04-27,1258
rsi_mean_reversion,RSI Mean Reversion,IWM,10,-2.4526,-0.2477,14.144,0.053988356225979264,-43.6602,66.6667,12,0.1375,45.5,177.8426,-180.2952,2016-04-25,2026-04-27,2516
rsi_mean_reversion,RSI Mean Reversion,IWM,20,24.9769,1.1198,15.268,0.14999407151824506,-43.6602,68.0,25,1.1578,43.52,375.0486,-350.0717,2006-04-24,2026-04-27,5034
rsi_mean_reversion,RSI Mean Reversion,GLD,1,3.89,3.847,9.173,0.4599508839800008,-3.7594,100.0,1,3.7861,38.0,41.4328,-37.5427,2025-04-23,2026-04-27,254
rsi_mean_reversion,RSI Mean Reversion,GLD,5,18.7006,3.4785,5.7086,0.6305082907738154,-9.4534,83.3333,6,2.9148,30.333333333333332,158.0893,-139.3887,2021-04-23,2026-04-27,1258
rsi_mean_reversion,RSI Mean Reversion,GLD,10,22.9238,2.0831,5.1224,0.429275846982555,-9.4534,75.0,12,1.7797,37.833333333333336,263.2416,-240.3178,2016-04-25,2026-04-27,2516
rsi_mean_reversion,RSI Mean Reversion,GLD,20,41.0302,1.732,7.403,0.2694431417469742,-25.7984,73.0769,26,1.4513,40.11538461538461,596.6108,-555.5806,2006-04-24,2026-04-27,5034
breakout_a,Breakout Strategy A — Simple Breakout,SPY,1,5.3846,5.3247,7.7831,0.7101384175689219,-8.5924,50.0,6,0.9054,33.333333333333336,34.968,-29.5835,2025-04-23,2026-04-27,254
breakout_a,Breakout Strategy A — Simple Breakout,SPY,5,29.0922,5.2251,9.2652,0.5988292429181852,-10.2255,48.0,25,1.0845,38.56,83.5571,-54.4649,2021-04-23,2026-04-27,1258
breakout_a,Breakout Strategy A — Simple Breakout,SPY,10,100.4562,7.1936,9.4759,0.7829140473258402,-10.6801,53.1915,47,1.5825,46.02127659574468,303.1169,-202.6607,2016-04-25,2026-04-27,2516
breakout_a,Breakout Strategy A — Simple Breakout,SPY,20,195.8214,5.5664,9.47,0.6209415946923774,-27.6936,52.9412,85,1.3743,46.64705882352941,689.6127,-493.7913,2006-04-24,2026-04-27,5034
breakout_a,Breakout Strategy A — Simple Breakout,QQQ,1,6.4834,6.4109,9.6488,0.6968087964325057,-11.464,50.0,6,1.1313,27.833333333333332,46.6865,-40.2031,2025-04-23,2026-04-27,254
breakout_a,Breakout Strategy A — Simple Breakout,QQQ,5,45.3218,7.7401,12.2197,0.6743445622463449,-19.1099,52.1739,23,1.7958,40.04347826086956,101.4571,-56.1353,2021-04-23,2026-04-27,1258
breakout_a,Breakout Strategy A — Simple Breakout,QQQ,10,147.0662,9.4557,11.9509,0.8183305809051117,-19.1099,48.9362,47,2.141,43.276595744680854,553.5375,-406.4713,2016-04-25,2026-04-27,2516
breakout_a,Breakout Strategy A — Simple Breakout,QQQ,20,329.5056,7.5508,11.7001,0.6823806607142318,-23.3794,55.1724,87,1.8601,45.206896551724135,1748.7183,-1419.2127,2006-04-24,2026-04-27,5034
breakout_a,Breakout Strategy A — Simple Breakout,BTC-USD,1,-29.7862,-29.5165,18.0264,-1.2484228292803867,-38.0618,25.0,8,-4.1841,16.0,-17.5133,-12.2729,2025-04-23,2026-04-27,370
breakout_a,Breakout Strategy A — Simple Breakout,BTC-USD,5,96.0175,14.3666,27.2034,0.47643139586719746,-49.0519,39.2857,28,3.679,28.464285714285715,51.2699,44.7476,2021-04-23,2026-04-27,1831
breakout_a,Breakout Strategy A — Simple Breakout,BTC-USD,10,13578.9924,63.4011,36.5487,1.1085076964363036,-56.5227,47.1698,53,16.0007,31.943396226415093,17064.6509,-3485.6585,2016-04-23,2026-04-27,3657
breakout_a,Breakout Strategy A — Simple Breakout,BTC-USD,20,13591.9906,52.7276,35.407,1.001161706181454,-56.5227,48.3871,62,13.7691,31.096774193548388,16799.9753,-3207.9847,2014-09-17,2026-04-27,4241
breakout_a,Breakout Strategy A — Simple Breakout,IWM,1,8.0922,8.0011,12.7325,0.6721405487011294,-10.0627,50.0,6,1.3585,35.166666666666664,47.0942,-39.002,2025-04-23,2026-04-27,254
breakout_a,Breakout Strategy A — Simple Breakout,IWM,5,10.2838,1.9716,12.5359,0.21900558124299555,-16.4825,45.4545,22,0.5303,30.954545454545453,30.3971,-20.1133,2021-04-23,2026-04-27,1258
breakout_a,Breakout Strategy A — Simple Breakout,IWM,10,49.4501,4.0952,13.2344,0.37035459832224,-30.0459,46.6667,45,1.0436,37.71111111111111,177.8426,-128.3925,2016-04-25,2026-04-27,2516
breakout_a,Breakout Strategy A — Simple Breakout,IWM,20,48.7435,2.0029,12.9326,0.2184178038013555,-30.0459,44.4444,90,0.5777,36.955555555555556,375.0486,-326.3051,2006-04-24,2026-04-27,5034
breakout_a,Breakout Strategy A — Simple Breakout,GLD,1,16.2548,16.0651,22.6605,0.7770061146855503,-13.8677,40.0,5,3.465,40.0,41.4328,-25.178,2025-04-23,2026-04-27,254
breakout_a,Breakout Strategy A — Simple Breakout,GLD,5,12.1219,2.3083,13.9333,0.2348923213634002,-15.7056,35.7143,28,0.5499,30.428571428571427,158.0893,-145.9674,2021-04-23,2026-04-27,1258
breakout_a,Breakout Strategy A — Simple Breakout,GLD,10,35.638,3.0917,11.8571,0.3173537619003987,-22.6798,39.1304,46,0.7921,35.15217391304348,263.2416,-227.6036,2016-04-25,2026-04-27,2516
breakout_a,Breakout Strategy A — Simple Breakout,GLD,20,79.9111,2.9767,12.5575,0.2973355911362752,-24.1124,40.9091,88,0.8343,35.625,596.6108,-516.6997,2006-04-24,2026-04-27,5034
breakout_b,Breakout Strategy B — Filtered Breakout Swing,SPY,1,0.0,0.0,0.0,,0.0,,0,,,34.968,-34.968,2025-04-23,2026-04-27,254
breakout_b,Breakout Strategy B — Filtered Breakout Swing,SPY,5,-5.8626,-1.1978,2.967,-0.3932473763333327,-5.8626,0.0,3,-1.9753,33.0,83.5571,-89.4197,2021-04-23,2026-04-27,1258
breakout_b,Breakout Strategy B — Filtered Breakout Swing,SPY,10,5.1968,0.5074,4.8386,0.12936246207168253,-12.2604,44.4444,9,0.6297,49.888888888888886,303.1169,-297.9201,2016-04-25,2026-04-27,2516
breakout_b,Breakout Strategy B — Filtered Breakout Swing,SPY,20,7.4409,0.3591,3.8539,0.11267817591637237,-12.2605,43.75,16,0.4986,44.0,689.6127,-682.1718,2006-04-24,2026-04-27,5034
breakout_b,Breakout Strategy B — Filtered Breakout Swing,QQQ,1,0.0,0.0,0.0,,0.0,,0,,,46.6865,-46.6865,2025-04-23,2026-04-27,254
breakout_b,Breakout Strategy B — Filtered Breakout Swing,QQQ,5,-0.8686,-0.1738,4.7266,-0.013314487686570741,-6.8975,66.6667,3,-0.2072,45.666666666666664,101.4571,-102.3257,2021-04-23,2026-04-27,1258
breakout_b,Breakout Strategy B — Filtered Breakout Swing,QQQ,10,15.2298,1.4261,4.714,0.3249636904766092,-13.4614,71.4286,7,2.1835,55.0,553.5375,-538.3078,2016-04-25,2026-04-27,2516
breakout_b,Breakout Strategy B — Filtered Breakout Swing,QQQ,20,17.4803,0.8079,4.0432,0.21978450860380278,-13.4614,57.1429,14,1.2745,45.5,1748.7183,-1731.238,2006-04-24,2026-04-27,5034
breakout_b,Breakout Strategy B — Filtered Breakout Swing,BTC-USD,1,0.0,0.0,0.0,,0.0,,0,,,-17.5133,17.5133,2025-04-23,2026-04-27,370
breakout_b,Breakout Strategy B — Filtered Breakout Swing,BTC-USD,5,173.0615,22.1838,19.5018,0.8058460924843931,-22.4838,60.0,10,12.3142,45.2,51.2699,121.7915,2021-04-23,2026-04-27,1831
breakout_b,Breakout Strategy B — Filtered Breakout Swing,BTC-USD,10,699.3032,23.0617,19.3438,0.8368391935226925,-22.4838,66.6667,15,17.2115,43.06666666666667,17064.6509,-16365.3477,2016-04-23,2026-04-27,3657
breakout_b,Breakout Strategy B — Filtered Breakout Swing,BTC-USD,20,974.7036,22.6813,20.7816,0.7824253165326287,-29.4222,61.9048,21,13.8866,37.142857142857146,16799.9753,-15825.2717,2014-09-17,2026-04-27,4241
breakout_b,Breakout Strategy B — Filtered Breakout Swing,IWM,1,0.0,0.0,0.0,,0.0,,0,,,47.0942,-47.0942,2025-04-23,2026-04-27,254
breakout_b,Breakout Strategy B — Filtered Breakout Swing,IWM,5,0.9748,0.1937,6.2293,0.062350244652874746,-10.5874,50.0,6,0.2052,28.833333333333332,30.3971,-29.4223,2021-04-23,2026-04-27,1258
breakout_b,Breakout Strategy B — Filtered Breakout Swing,IWM,10,21.5936,1.9722,6.0512,0.3539304827653255,-10.5874,66.6667,12,1.8246,39.75,177.8426,-156.249,2016-04-25,2026-04-27,2516
breakout_b,Breakout Strategy B — Filtered Breakout Swing,IWM,20,1.1086,0.0551,5.8421,0.03869517594264208,-24.8869,50.0,24,0.2105,38.083333333333336,375.0486,-373.94,2006-04-24,2026-04-27,5034
breakout_b,Breakout Strategy B — Filtered Breakout Swing,GLD,1,0.0,0.0,0.0,,0.0,,0,,,41.4328,-41.4328,2025-04-23,2026-04-27,254
breakout_b,Breakout Strategy B — Filtered Breakout Swing,GLD,5,45.1752,7.7184,12.8261,0.6474709398083105,-13.8677,60.0,15,2.6765,41.8,158.0893,-112.9141,2021-04-23,2026-04-27,1258
breakout_b,Breakout Strategy B — Filtered Breakout Swing,GLD,10,35.5828,3.0875,10.4532,0.3445265646385048,-23.9596,46.4286,28,1.2458,38.892857142857146,263.2416,-227.6588,2016-04-25,2026-04-27,2516
breakout_b,Breakout Strategy B — Filtered Breakout Swing,GLD,20,82.7718,3.0579,10.3385,0.34407893794479605,-23.9596,41.5094,53,1.3559,37.58490566037736,596.6108,-513.839,2006-04-24,2026-04-27,5034
hybrid,Hybrid Allocation Strategy,SPY,1,2.3998,2.3734,2.5783,0.9289409250473055,-2.6985,100.0,2,5.0141,46.0,34.968,-32.5682,2025-04-23,2026-04-27,254
hybrid,Hybrid Allocation Strategy,SPY,5,15.9545,2.9965,5.8697,0.5348450998504574,-10.4231,63.6364,11,5.2328,130.54545454545453,83.5571,-67.6025,2021-04-23,2026-04-27,1258
hybrid,Hybrid Allocation Strategy,SPY,10,50.9556,4.1994,7.8025,0.5679879534384649,-18.5108,72.0,25,5.3041,142.6,303.1169,-252.1612,2016-04-25,2026-04-27,2516
hybrid,Hybrid Allocation Strategy,SPY,20,133.2433,4.3207,7.9809,0.571351855292132,-22.4504,70.0,50,4.9202,140.0,689.6127,-556.3694,2006-04-24,2026-04-27,5034
hybrid,Hybrid Allocation Strategy,QQQ,1,4.3637,4.3154,3.2391,1.3295830749761495,-2.8473,100.0,2,8.6095,44.5,46.6865,-42.3228,2025-04-23,2026-04-27,254
hybrid,Hybrid Allocation Strategy,QQQ,5,32.8101,5.8227,7.7691,0.7709622895093574,-13.2651,75.0,12,8.685,117.41666666666667,101.4571,-68.647,2021-04-23,2026-04-27,1258
hybrid,Hybrid Allocation Strategy,QQQ,10,138.6434,9.0771,10.2382,0.902564127134253,-16.8565,84.6154,26,10.2183,136.46153846153845,553.5375,-414.8941,2016-04-25,2026-04-27,2516
hybrid,Hybrid Allocation Strategy,QQQ,20,344.0005,7.7293,10.8142,0.7443712168677137,-20.8763,73.4694,49,7.5892,146.26530612244898,1748.7183,-1404.7178,2006-04-24,2026-04-27,5034
hybrid,Hybrid Allocation Strategy,BTC-USD,1,-4.7504,-4.7001,4.5531,-0.7071793646850868,-8.1413,0.0,3,-6.6741,30.0,-17.5133,12.7629,2025-04-23,2026-04-27,370
hybrid,Hybrid Allocation Strategy,BTC-USD,5,90.3037,13.6938,18.4112,0.5727062059100959,-21.9921,59.2593,27,6.4432,67.18518518518519,51.2699,39.0337,2021-04-23,2026-04-27,1831
hybrid,Hybrid Allocation Strategy,BTC-USD,10,2596.0625,38.9435,35.6426,0.8154866059514995,-55.3757,68.0851,47,36.8506,73.42553191489361,17064.6509,-14468.5884,2016-04-23,2026-04-27,3657
hybrid,Hybrid Allocation Strategy,BTC-USD,20,4673.4795,39.4833,36.1774,0.816323253264514,-58.7513,66.1017,59,51.9567,71.20338983050847,16799.9753,-12126.4959,2014-09-17,2026-04-27,4241
hybrid,Hybrid Allocation Strategy,IWM,1,1.3964,1.3811,2.7772,0.511195164680487,-3.0302,100.0,1,4.55,80.0,47.0942,-45.6978,2025-04-23,2026-04-27,254
hybrid,Hybrid Allocation Strategy,IWM,5,7.8568,1.52,6.4352,0.26781872305839216,-9.3994,58.8235,17,1.9633,83.05882352941177,30.3971,-22.5403,2021-04-23,2026-04-27,1258
hybrid,Hybrid Allocation Strategy,IWM,10,11.5485,1.0977,7.5722,0.18266569542461072,-26.5271,62.5,32,1.3713,106.65625,177.8426,-166.2941,2016-04-25,2026-04-27,2516
hybrid,Hybrid Allocation Strategy,IWM,20,24.1135,1.0848,8.4425,0.17059599051318006,-32.5109,58.7302,63,1.868,108.55555555555556,375.0486,-350.9351,2006-04-24,2026-04-27,5034
hybrid,Hybrid Allocation Strategy,GLD,1,-0.9345,-0.9244,5.6421,-0.13764314483292042,-6.3729,50.0,2,-1.0083,59.0,41.4328,-42.3673,2025-04-23,2026-04-27,254
hybrid,Hybrid Allocation Strategy,GLD,5,57.7497,9.518,11.216,0.8714501330117368,-13.0309,62.5,24,7.3054,86.83333333333333,158.0893,-100.3396,2021-04-23,2026-04-27,1258
hybrid,Hybrid Allocation Strategy,GLD,10,74.4443,5.7156,9.4811,0.6358516120772906,-14.1376,53.1915,47,4.4347,86.14893617021276,263.2416,-188.7973,2016-04-25,2026-04-27,2516
hybrid,Hybrid Allocation Strategy,GLD,20,153.6716,4.759,9.5145,0.5377132888995675,-22.2696,50.0,92,3.6135,85.09782608695652,596.6108,-442.9392,2006-04-24,2026-04-27,5034
